source,url,date,title,img,summary,Prediction,Probability,Content
CNBCTV18,https://www.cnbctv18.com/information-technology/panel-proposes-new-regulator-for-non-personal-data-herere-details-6303351.htm,6 days ago,Panel proposes new regulator for non-personal data; here're details,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","As India moves to tighten policies on its citizens' data held and ... Panel chief Kris Gopalakrishnan, a founder of Indian technology giant Infosys, ...",industry,0.555109838169055,"As India moves to tighten policies on its citizens' data held and ... Panel chief Kris Gopalakrishnan, a founder of Indian technology giant Infosys, ..."
Business Insider India,https://www.businessinsider.in/science/space/news/isro-has-three-new-reforms-the-works-for-indias-space-sector/articleshow/76619678.cms,3 weeks ago,These are the three new reforms in the works for India's space sector,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The other is India's Remote Sensing Data Policy (RSDP) for the ... It will execute through industry concertion and undertake technology transfer ...,dc,0.4229223114873381,The other is India's Remote Sensing Data Policy (RSDP) for the ... It will execute through industry concertion and undertake technology transfer ...
The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/tiktok-data-harvesting-us-security-concerns-6506594/,2 days ago,TikTok’s massive data harvesting prompts U.S. security concerns,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Previous versions of TikTok's privacy policy warned users it could ... American tech companies have also been accused of bending data ... TikTok was also among the dozens of apps from Chinese companies banned by India ...,cc,0.4112069050399556,Previous versions of TikTok's privacy policy warned users it could ... American tech companies have also been accused of bending data ... TikTok was also among the dozens of apps from Chinese companies banned by India ...
ETHealthworld.com,https://health.economictimes.indiatimes.com/news/health-it/evolving-role-of-ai-iomt-and-big-data-analytics-have-redefined-the-shape-of-indian-healthcare-market/77004049,19 hours ago,"Evolving role of AI, IoMT and Big Data analytics have redefined the shape of Indian healthcare market","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The face of healthcare In India has changed significantly not only through technology adoption by the consumers or deep investments by VCs into the med-tech ...,other,0.37731499303889754,The face of healthcare In India has changed significantly not only through technology adoption by the consumers or deep investments by VCs into the med-tech ...
Express Healthcare,https://www.expresshealthcare.in/covid19-updates/why-telemedicine-and-health-tech-providers-need-to-improve-their-regulatory-preparedness/423385/,4 hours ago,Why telemedicine and health tech providers need to improve their regulatory preparedness,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","To ensure that the Indian healthcare ecosystem does not miss out on the current wave, a few things should be worked around: Promote research: ...",industry,0.40156680518686566,"To ensure that the Indian healthcare ecosystem does not miss out on the current wave, a few things should be worked around: Promote research: ..."
Business Insider India,https://www.businessinsider.in/thelife/personalities/news/hcl-techs-new-chairman-roshni-nadar-is-the-richest-woman-in-india-with-a-net-worth-of-36800-crore/slidelist/77015257.cms,3 hours ago,"HCL Tech’s new chairman Roshni Nadar is the richest woman in India with a net worth of ₹36,800 crore","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Roshni Nadar is India's richest woman with a net worth of ₹36,800 crore, ... He also serves as the vice-chairman and CEO of HCL Healthcare.",industry,0.6104757658567145,"Roshni Nadar is India's richest woman with a net worth of ₹36,800 crore, ... He also serves as the vice-chairman and CEO of HCL Healthcare."
Economic Times,https://economictimes.indiatimes.com/tech/ites/google-should-use-ai-in-agri-weather-prediction-healthcare-in-india-r-s-prasad/articleshow/76939728.cms,3 days ago,"Google should use AI in agri, weather prediction, healthcare in India: R S Prasad","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... through technology, he was happy to see Google invest a fairly substantial amount in India's digital transformation. “There is immense scope ...",industry,0.4473706820790389,"... through technology, he was happy to see Google invest a fairly substantial amount in India's digital transformation. “There is immense scope ..."
Express Healthcare,https://www.expresshealthcare.in/news/india-ramping-up-fight-against-covid-19-pandemic/423372/,19 hours ago,India ramping up fight against COVID-19 pandemic,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The pandemic has highlighted importance of medical technologies, which play crucial role in ensuring inclusive healthcare, improving quality ...",industry,0.5627201173420612,"The pandemic has highlighted importance of medical technologies, which play crucial role in ensuring inclusive healthcare, improving quality ..."
Express Healthcare,https://www.expresshealthcare.in/blogs/patients-do-better-when-physicians-use-technology-optum-global-solutions/423284/,1 day ago,Patients do better when physicians use technology,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... the healthcare technology market. Varun Bahl, Sr Product Manager and Chitrangana Singh, Product Analyst, Optum Global Solutions (India), ...",industry,0.48182307448401634,"... the healthcare technology market. Varun Bahl, Sr Product Manager and Chitrangana Singh, Product Analyst, Optum Global Solutions (India), ..."
Financial Express,https://www.financialexpress.com/opinion/google-the-benefits-govt-role-critical-for-india-to-benefit-from-google-plans/2026578/,10 hours ago,Google the benefits: Govt role critical for India to benefit from Google plans,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Google the benefits: Govt role critical for India to benefit from Google plans ... both in terms of policymaking as well as in the adoption of technology. ... diagnostics—will be another way to improve the quality of healthcare.,industry,0.40308692795213374,Google the benefits: Govt role critical for India to benefit from Google plans ... both in terms of policymaking as well as in the adoption of technology. ... diagnostics—will be another way to improve the quality of healthcare.
India Briefing,https://www.india-briefing.com/news/investing-indias-healthcare-sector-new-opportunities-regulation-telemedicine-20578.html/,1 week ago,Investing in India's Healthcare Sector: New Opportunities,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",COVID-19 has accelerated an ongoing shift within the healthcare sector towards the use of digital health technologies (healthtech). Around the ...,industry,0.659024860524258,COVID-19 has accelerated an ongoing shift within the healthcare sector towards the use of digital health technologies (healthtech). Around the ...
Elets,https://ehealth.eletsonline.com/2020/07/veracity-of-data-matters-in-healthcare/,5 hours ago,‘Veracity of data matters in healthcare’,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... in the existing Indian healthcare system. These app-enabled solutions can further initiate the much-needed dialogue on health technology, ...",industry,0.5999790594267832,"... in the existing Indian healthcare system. These app-enabled solutions can further initiate the much-needed dialogue on health technology, ..."
Livemint,https://www.livemint.com/news/india/covid-19-update-all-eyes-on-vaccines-as-india-cases-cross-1-million-11594943072757.html,11 hours ago,Covid-19 update: All eyes on vaccines as India cases cross 1 million,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Starting mid-June, when India crossed the 50% mark in the recovery rate, ... the use of rapid tests, technology use with telemedicine, put two Indian made ... covid consists of 1,381 dedicated hospitals, 3,100 healthcare centres ...",industry,0.4709748611997051,"Starting mid-June, when India crossed the 50% mark in the recovery rate, ... the use of rapid tests, technology use with telemedicine, put two Indian made ... covid consists of 1,381 dedicated hospitals, 3,100 healthcare centres ..."
Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-the-news-britannia-industries-hcl-tech-yes-bank-icici-lombard-and-ptc-india/articleshow/77010349.cms,8 hours ago,"Stocks in the news: RIL, Future Retail, Britannia, HCL Tech, YES Bank, ICICI Lombard and PTC India","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... Retail, Britannia, HCL Tech, YES Bank, ICICI Lombard and PTC India ... which was 48 per cent the issue size of 9,09,97,66,899 shares, data ... (PPA) to facilitate suitable increase in power tariff, an industry source said.",other,0.3162214596584835,"... Retail, Britannia, HCL Tech, YES Bank, ICICI Lombard and PTC India ... which was 48 per cent the issue size of 9,09,97,66,899 shares, data ... (PPA) to facilitate suitable increase in power tariff, an industry source said."
Business Today,https://www.businesstoday.in/markets/stocks/share-market-updates-sensex-nifty-live-stock-market-news-on-july-17/story/410146.html,7 hours ago,"Share Market Highlights: Sensex ends 548 points higher, Nifty at 10,901; BPCL, ONGC, GAIL, RIL top gainers","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Commenting on quote on Q1FY21 results of Granules India , Yash Gupta, Equity ... The Company was able to increase market share in both the PFI and finished dosage segment.",cc,0.7427903397558807,"Commenting on quote on Q1FY21 results of Granules India , Yash Gupta, Equity ... The Company was able to increase market share in both the PFI and finished dosage segment. ... 19 PM: HCL Tech rises post Q1 earnings."
,https://3wnews.org/uncategorised/2785917/global-financial-software-market-2020-trends-market-share-industry-size-growth-opportunities-analysis-and-forecast-to-2025/,5 hours ago,GLOBAL FINANCIAL SOFTWARE MARKET 2020: TRENDS ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This report studies the global Financial Software market size, industry status and forecast, competition landscape and ... India. \n.",other,0.3680474791163233,"This report studies the global Financial Software market size, industry status and forecast, competition landscape and ... India. \n. Market segment by Type, the product can be split into ... 2.2.4 The Technology Trends in Future."
3rd Watch News,https://3wnews.org/uncategorised/2740704/beacon-technology-market-size-by-product-analysis-application-end-users-regional-outlook-competitive-strategies-and-forecast-up-to-2026/,1 day ago,Beacon Technology Market Size By Product Analysis ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Beacon Technology Market Size By Product Analysis, Application, ... India, and Japan are boosting the growth of the beacon technology market ...",other,0.39792318997300385,"Beacon Technology Market Size By Product Analysis, Application, ... India, and Japan are boosting the growth of the beacon technology market ..."
Cole of Duty,https://coleofduty.com/technology/2020/07/17/india-manufacturing-erp-market-2019-2027-latest-updates-with-top-companies-applications-and-types/,4 hours ago,India Manufacturing ERP Market 2019-2027| Latest Updates ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The India Manufacturing ERP market accounted to US$ 262.7 Mn in 2018 ... along with the Technology, Media and Telecommunications industry, but the ... The reports provide the market size & forecast, drivers, challenges, ...",other,0.3105850232729367,"The India Manufacturing ERP market accounted to US$ 262.7 Mn in 2018 ... along with the Technology, Media and Telecommunications industry, but the ... The reports provide the market size & forecast, drivers, challenges, ..."
,https://3wnews.org/news/2802958/healthcare-3d-printing-market-report-2020-rising-impressive-business-opportunities-analysis-forecast-by-2025/,26 mins ago,Healthcare 3D Printing Market Report 2020: Rising Impressive ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The technology segment of Droplet Deposition has been witnessing growth at a ... Canada, France, Germany, India, China, Japan, Brazil)” has covered and ... Global Healthcare 3D Printing Market – Size, Growth, Forecast",industry,0.41933471313605064,"The technology segment of Droplet Deposition has been witnessing growth at a ... Canada, France, Germany, India, China, Japan, Brazil)” has covered and ... Global Healthcare 3D Printing Market – Size, Growth, Forecast"
,https://3wnews.org/uncategorised/2797427/female-hygiene-products-market-2020-industry-size-growth-share-key-segments-revenue-analysis-global-opportunities-trends-research-revenue-and-insights-2026/,1 hour ago,"Female Hygiene Products Market 2020: Industry Size, Growth ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Female Hygiene Products Market 2020: Industry Size, Growth, Share, Key ... of the industry including its size, share, growth, technology and forecast 2026. ... Europe, Japan, China and other regions (India, Southeast Asia, ...",cc,0.4122145013028872,"Female Hygiene Products Market 2020: Industry Size, Growth, Share, Key ... of the industry including its size, share, growth, technology and forecast 2026. ... Europe, Japan, China and other regions (India, Southeast Asia, ..."
3rd Watch News,https://3wnews.org/news/2761285/global-hand-dryer-market-2025-industry-size-shares-demands-applications-trends-growth-opportunities-sales-investmentsamerican-dryer-llc-dyson-technology-india-pvt-ltd-euronics-industr/,22 hours ago,"Global Hand Dryer Market 2025 Industry Size, Shares, Demands, Applications, Trends, Growth Opportunities, Sales & Investments|American Dryer, LLC, Dyson Technology India Pvt Ltd, Euronics Industries Pvt Ltd","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... Size, Shares, Demands, Applications, Trends, Growth Opportunities, Sales & Investments|American Dryer, LLC, Dyson Technology India Pvt ...",cc,0.6620080179296078,"... Size, Shares, Demands, Applications, Trends, Growth Opportunities, Sales & Investments|American Dryer, LLC, Dyson Technology India Pvt ..."
3rd Watch News,https://3wnews.org/news/2686813/green-technology-market-outlook-2020-covid-19-impact-growth-by-top-companies-adani-power-limited-bharat-heavy-electricals-limited-exide-industries-limited-suzlon-energy-limited-tata-chemicals/,2 days ago,"Green Technology In India Market Outlook 2020 | Covid-19 Impact |Growth by Top Companies: Adani Power Limited, Bharat Heavy Electricals Limited, Exide Industries Limited, Suzlon Energy Limited, Tata Chemicals Limited","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This includes factors such as market size, market share, market segmentation, significant growth drivers, market competition, different aspects ...",cc,0.7024480582789104,"This includes factors such as market size, market share, market segmentation, significant growth drivers, market competition, different aspects ..."
,https://www.globenewswire.com/news-release/2020/07/17/2063797/0/en/Global-High-Performance-Alloys-Industry.html,4 hours ago,Global High Performance Alloys Industry,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The U.S. Accounts for Over 27% of Global Market Size in 2020, While China is ... India, and South Korea, the market in Asia-Pacific is forecast to reach ... Increasing Adoption of Nuclear Power Technology Bodes Well for",other,0.30158349977053067,"The U.S. Accounts for Over 27% of Global Market Size in 2020, While China is ... India, and South Korea, the market in Asia-Pacific is forecast to reach ... Increasing Adoption of Nuclear Power Technology Bodes Well for"
The Hindu,https://www.thehindu.com/news/national/pm-modi-googles-pichai-discuss-how-tech-can-transform-lives/article32065016.ece,4 days ago,Google announces $10 billion India Digitization Fund,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Today, people in India no longer have to wait for technology to come to you. A whole new generation of technologies are happening in India first.”.",industry,0.55393024984012,"Today, people in India no longer have to wait for technology to come to you. A whole new generation of technologies are happening in India first.”."
The Indian Express,https://indianexpress.com/article/explained/google-10-billion-usd-investment-in-india-explained-6505026/,1 day ago,"Explained: What the $10 billion investment means for Google, and India","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Google's investment in India: The announcement assumes particular significance ... investment ecosystem following the Centre's clampdown on Chinese technology firms. ... How will Google invest from the $10-billion fund?,other,0.3520693230377205,Google's investment in India: The announcement assumes particular significance ... investment ecosystem following the Centre's clampdown on Chinese technology firms. ... How will Google invest from the $10-billion fund?
ETtech.com,https://tech.economictimes.indiatimes.com/news/internet/google-to-invest-10-billion-in-india-sets-up-india-digitisation-fund/76937223,3 days ago,Google to invest $10 billion in India over 5-7 years,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",“We'll do it (deploy funds) through a mix of equity investments in large ... of the two global CEOs of Indian origin to lead technology companies ...,industry,0.6153546689718954,“We'll do it (deploy funds) through a mix of equity investments in large ... of the two global CEOs of Indian origin to lead technology companies ...
ETtech.com,https://tech.economictimes.indiatimes.com/news/startups/vedantu-lands-100-million-in-series-d-funding-led-by-coatue-management/76999178,20 hours ago,Vedantu lands $100 million in Series D funding led by Coatue Management,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The latest capital raising values the online live tutoring startup at $600 million, making it the second most valued Indian educational technology ...",other,0.32817760303533666,"The latest capital raising values the online live tutoring startup at $600 million, making it the second most valued Indian educational technology ..."
The New Indian Express,https://www.newindianexpress.com/business/2020/jul/16/edtech-startup-vedantu-raises-100-million-from-us-based-coatue-in-latest-funding-2170779.html,16 hours ago,Edtech startup Vedantu raises $100 million from US-based Coatue in latest funding,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",... for the edtech industry in India attracting funds from leading investors ... we will use the funds to invest in content and technology to create the ...,industry,0.6286823933071056,... for the edtech industry in India attracting funds from leading investors ... we will use the funds to invest in content and technology to create the ...
Livemint,https://www.livemint.com/companies/start-ups/vedantu-raises-100-mn-from-coatue-valuation-doubles-to-600-mn-11594898903783.html,23 hours ago,"Vedantu raises $100 mn from Coatue, valuation doubles to $600 mn","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Vedantu's fund-raise was led by New York-based hedge fund Coatue, that ... Byju's raised $100 million in June from US-based technology investor ... “Our investment in Vedantu marks our entry into the Indian edtech market.",industry,0.6040038748819929,"Vedantu's fund-raise was led by New York-based hedge fund Coatue, that ... Byju's raised $100 million in June from US-based technology investor ... “Our investment in Vedantu marks our entry into the Indian edtech market."
The Hindu,https://www.thehindu.com/news/national/andhra-pradesh/two-ap-tech-projects-to-fight-covid-19-picked-for-central-funding/article32107054.ece,16 hours ago,Two A.P. tech projects to fight COVID-19 picked for Central funding,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Two A.P. tech projects to fight COVID-19 picked for Central funding ... As many as 16 technology projects, including two from Andhra Pradesh, ... and transferred about 5,000 technologies in India and abroad particularly to ...",industry,0.5156641266379278,"Two A.P. tech projects to fight COVID-19 picked for Central funding ... As many as 16 technology projects, including two from Andhra Pradesh, ... and transferred about 5,000 technologies in India and abroad particularly to ..."
India Education Diary,https://indiaeducationdiary.in/nrdc-funds-16-covid-technologies-for-scaling-up-and-validation/,1 hour ago,NRDC Funds 16 Covid Technologies for Scaling up and Validation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Some of the Institutions and Companies selected includes; IIT Delhi. Sahajanand Technologies Pvt.,industry,0.7493055883734359,"Some of the Institutions and Companies selected includes; IIT Delhi. Sahajanand Technologies Pvt. LtdSurat, IDEMI Mumbai, INM Indian Navy, ..."
Livemint,https://www.livemint.com/companies/start-ups/startup-funding-down-29-in-first-half-of-2020-tracxn-11594216461904.html,1 week ago,Startup funding down 29% in first half of 2020: Tracxn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Startup funding dropped by 29% in the first six months of 2020 to ... into Indian companies may put an immediate freeze on funding, ... Ed-tech startup Byju's raised about $100 million from Mary Meeker's technology fund Bond, ...",other,0.376952675239765,"Startup funding dropped by 29% in the first six months of 2020 to ... into Indian companies may put an immediate freeze on funding, ... Ed-tech startup Byju's raised about $100 million from Mary Meeker's technology fund Bond, ..."
TechCrunch,https://techcrunch.com/2020/07/15/google-invests-4-5-billion-in-indias-reliance-jio-platforms/,2 days ago,Google invests $4.5 billion in India’s Reliance Jio Platforms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",“Getting technology into the hands of more people is a big part of Google's ... is the first investment from the Google For India Digitization Fund.,other,0.3733828584030635,“Getting technology into the hands of more people is a big part of Google's ... is the first investment from the Google For India Digitization Fund.
